Постановление от 02.06.2021г.  № 1675-П
Постановление от 24.03.2021г.  № 18-ПГ
Постановление от 23.03.2021г.  № 17-ПГ
Постановление от 14.12.2020г.  № 107-ПГ
Решение от 04.08.2020г.  № 679/40-Р
Постановление от 03.07.2019г.  № 75-ПГ
Постановление от 05.06.2019г.  № 71-ПГ
Постановление от 11.09.2018г.  № 33-ПГ
Постановление от 05.09.2018г.  № 31-ПГ
Постановление от 07.08.2017г.  № 1637-П
Постановление от 02.08.2017г.  № 1595-П
Постановление от 02.08.2017г.  № 1596-П
Постановление от 02.08.2017г.  № 1598-П
Постановление от 02.08.2017г.  № 1599-П
Постановление от 14.07.2017г.  № 1452-П
Постановление от 14.07.2017г.  № 1453-П
Постановление от 14.07.2017г.  № 1455-П
Постановление от 14.07.2017г.  № 1451-П
Другие документы от 22.07.2020г.
Другие документы от 25.06.2020г.
Постановление от 30.03.2021г.  № 817-П
Постановление от 23.03.2021г.  № 16-ПГ
Постановление от 24.02.2021г.  № 404-П
Решение от 04.08.2020г.  № 678/40-Р
Постановление от 24.12.2019г.  № 112-ПГ
Постановление от 04.09.2018г.  № 29-ПГ
Постановление от 09.07.2018г.  № 1965-П
Решение от 28.12.2017г.  № 906/61
Решение от 28.12.2017г.  № 908/61
Решение от 28.12.2017г.  № 907/61
Решение от 28.12.2017г.  № 909/61
Решение от 28.12.2017г.  № 910/61
Решение от 28.12.2017г.  № 911/61
Решение от 28.12.2017г.  № 912/61
Решение от 28.12.2017г.  № 913/61
Решение от 18.12.2017г.  № 899/61
Постановление от 05.04.2017г.  № 659-П
Постановление от 01.02.2017г.  № 177-П
Постановление от 22.12.2016г.  № 2862-П
Постановление от 22.12.2016г.  № 2861-П
Другие документы от 16.07.2018г.  № 3104
Другие документы от 13.07.2018г.  № 3095
Постановление от 08.10.2021г.  № 56-ПГ
Постановление от 06.07.2021г.  № 37-ПГ
Другие документы от 23.06.2021г.
Протокол от 23.06.2021г.
Протокол от 29.01.2021г.  № 1
Другие документы от 29.01.2021г.  № 1
Постановление от 24.12.2020г.  № 112-ПГ
Решение от 24.11.2020г.  № 739/45
Решение от 30.06.2020г.  № 654/39
Решение от 26.05.2020г.  № 649/38-Р
Постановление от 05.02.2020г.  № 2-ПГ
Другие документы от 28.11.2019г.  № 3142
Постановление от 09.10.2019г.  № 3860-П
Другие документы от 26.07.2019г.  № 3140
Постановление от 10.04.2019г.  № 1241-П
Постановление от 19.03.2019г.  № 36-П
Постановление от 03.11.2021г.  № 3621-П
Распоряжение от 12.10.2021г.  № 15ВР-1873
Распоряжение от 31.08.2021г.  № 15ВР-1584
Распоряжение от 30.08.2021г.  № 15ВР-1573
Распоряжение от 27.08.2021г.  № 15ВР-1559
Распоряжение от 27.08.2021г.  № 15ВР-1555
Распоряжение от 18.08.2021г.  № 15ВР-1479
Распоряжение от 12.08.2021г.  № 15ВР-1446
Постановление от 06.08.2021г.  № 2514-П
Постановление от 15.07.2021г.  № 2228-П
Постановление от 08.07.2021г.  № 2188-П
Распоряжение от 29.06.2021г.  № 15ВР-1152
Распоряжение от 23.06.2021г.  № 15-ВР-1094
Постановление от 28.05.2021г.  № 1630-П
Постановление от 30.04.2021г.  № 1341-П
Постановление от 14.04.2021г.  № 1044-П
Постановление от 09.04.2021г.  № 973-П
Постановление от 02.04.2021г.  № 866-П
Постановление от 02.04.2021г.  № 852-П
Постановление от 07.10.2021г.  № 3260-П
Постановление от 18.05.2021г.  № 1442-П
Постановление от 19.01.2021г.  № 65-П
Постановление от 04.12.2020г.  № 3263-П
Постановление от 03.09.2020г.  № 2175-П
Постановление от 29.06.2020г.  № 1409-П
Постановление от 25.02.2020г.  № 487-П
Постановление от 18.12.2019г.  № 4694-П
Постановление от 08.10.2019г.  № 3847-П
Постановление от 20.08.2019г.  № 3197-П
Постановление от 28.06.2019г.  № 2345-П
Постановление от 11.06.2019г.  № 2044-П
Постановление от 23.05.2019г.  № 1754-П
Постановление от 05.03.2019г.  № 643-П
Постановление от 18.01.2019г.  № 80-П
Постановление от 18.01.2019г.  № 81-П
Постановление от 18.01.2019г.  № 82-П
Постановление от 12.10.2018г.  № 2865-П
Постановление от 22.08.2018г.  № 2400-П
Постановление от 22.08.2018г.  № 2401-П
Постановление от 12.04.2021г.  № 981-П
Протокол от 09.07.2019г.  № 1022
Протокол от 07.07.2019г.  № 1020
Постановление от 22.04.2019г.  № 1398-П
Постановление от 15.04.2019г.  № 1312-П
Постановление от 19.03.2019г.  № 825-П
Постановление от 12.03.2019г.  № 719-П
Другие документы от 03.07.2018г.  № 85/8
Постановление от 15.06.2018г.  № 1743-П
Постановление от 04.06.2018г.  № 1635-П
Постановление от 03.11.2017г.  № 2439-П
Постановление от 13.10.2017г.  № 2213-П
Постановление от 23.06.2016г.  № 1269-П
Протокол от 29.03.2015г.  № 1235
Протокол от 16.10.2020г.
Постановление от 06.02.2015г.  № 58-П
Постановление от 07.04.2011г.  № 461-П
Решение от 30.01.2018г.  № 928/62
Постановление от 07.08.2017г.  № 1636-П
Другие документы от 22.11.2021г.  № бн
Распоряжение от 01.12.2021г.  № 15ВР-2252
Распоряжение от 30.11.2021г.  № 15ВР-2220
Распоряжение от 30.11.2021г.  № 15ВР-2221
